difficulty,question,pronunciation,answers,correct
JLPT N3,土地,とち,"① 토지,땅","① 토지,땅"
JLPT N3,突然,とつぜん,"① 돌연,갑자기","① 돌연,갑자기"
JLPT N3,何方,どっち,"① 어느 쪽","① 어느 쪽"
JLPT N3,トップ,top,"① 톱\n② 첫째,선두","① 톱\n② 첫째,선두"
JLPT N3,飛ばす,とばす,"① 날리다\n② 건너뛰다","① 날리다\n② 건너뛰다"
JLPT N3,飛(び)込む·跳(び)込む,とびこむ,"① 뛰어들다,관여하다","① 뛰어들다,관여하다"
JLPT N3,飛(び)出す,とびだす,"① 뛰어나가다\n② 튀어나오다","① 뛰어나가다\n② 튀어나오다"
JLPT N3,徒歩,とほ,"① 도보","① 도보"
JLPT N3,友·朋·伴,とも,"① 친구,벗","① 친구,벗"
JLPT N3,虎,とら,"① 호랑이,범","① 호랑이,범"
JLPT N3,ドライブ,drive,"① 드라이브","① 드라이브"
JLPT N3,取(り)消す,とりけす,"① 취소하다","① 취소하다"
JLPT N3,取(り)出す,とりだす,"① 꺼내다,집어내다\n② 골라 내다","① 꺼내다,집어내다\n② 골라 내다"
JLPT N3,取(り)引き·取引,とりひき,"① 거래,흥정\n② 상행위","① 거래,흥정\n② 상행위"
JLPT N3,トレーニング,training,"① 트레이닝,훈련,연습","① 트레이닝,훈련,연습"
JLPT N3,取れる,とれる,"① 떨어지다,빠지다\n② 받아들여지다\n③ 없어지다","① 떨어지다,빠지다\n② 받아들여지다\n③ 없어지다"
JLPT N3,泥,どろ,"① 진흙,흙","① 진흙,흙"
JLPT N3,とんでもない,とんでもない,"① 터무니없다,뜻밖의\n② 천만에","① 터무니없다,뜻밖의\n② 천만에"
JLPT N3,トンネル,tunnel,"① 터널,굴","① 터널,굴"
JLPT N3,名,な,"① 이름\n② 평판,명성","① 이름\n② 평판,명성"
JLPT N3,内科,ないか,"① 내과","① 내과"
JLPT N3,内線,ないせん,"① 내선,구내","① 내선,구내"
JLPT N3,内容,ないよう,"① 내용","① 내용"
JLPT N3,仲直り,なかなおり,"① 화해","① 화해"
JLPT N3,長長,ながなが,"① 오랫동안\n② 길게,기다랗게","① 오랫동안\n② 길게,기다랗게"
JLPT N3,中指,なかゆび,"① 중지,가운뎃손가락","① 중지,가운뎃손가락"
JLPT N3,仲よし·仲良し·仲好し,なかよし,"①  (주로 어린이) 사이가 좋음,사이좋은 친구","①  (주로 어린이) 사이가 좋음,사이좋은 친구"
JLPT N3,乍ら,ながら,"① …하면서,…하면서도","① …하면서,…하면서도"
JLPT N3,なだらか,なだらか,"① 완만한 모양,가파르지 않은 모양","① 완만한 모양,가파르지 않은 모양"
JLPT N3,斜め,ななめ,"① 기욺,비뚤어짐\n② 기분이 상해 있다,저기압이다","① 기욺,비뚤어짐\n② 기분이 상해 있다,저기압이다"
JLPT N3,生,なま,"① 가공하지 않은 상태\n② 불충분함,불완전함","① 가공하지 않은 상태\n② 불충분함,불완전함"
JLPT N3,怠ける·懶ける,なまける,"① 게으름 피우다","① 게으름 피우다"
JLPT N3,波·浪·濤,なみ,"① 파도,파동\n② 물결","① 파도,파동\n② 물결"
JLPT N3,並木,なみき,"① 가로수","① 가로수"
JLPT N3,悩む,なやむ,"① 괴로워하다,고민하다","① 괴로워하다,고민하다"
JLPT N3,鳴らす,ならす,"① 소리를 내다\n② 떨치다,날리다","① 소리를 내다\n② 떨치다,날리다"
JLPT N3,南北,なんぼく,"① 남북","① 남북"
JLPT N3,握る,にぎる,"① 쥐다,잡다\n② 자기 것으로 하다,장악하다","① 쥐다,잡다\n② 자기 것으로 하다,장악하다"
JLPT N3,憎い·悪い,にくい,"① 밉다,증오스럽다","① 밉다,증오스럽다"
JLPT N3,日時,にちじ,"① 일시,시일","① 일시,시일"
JLPT N3,日常,にちじょう,"① 일상 (=동의어ふだん)","① 일상 (=동의어ふだん)"
JLPT N3,にっこり,にっこり,"① 생긋,방긋","① 생긋,방긋"
JLPT N3,日中,にっちゅう,"① 주간,낮","① 주간,낮"
JLPT N3,日程,にってい,"① 일정 (=동의어スケジュール)","① 일정 (=동의어スケジュール)"
JLPT N3,入場,にゅうじょう,"① 입장","① 입장"
JLPT N3,入浴,にゅうよく,"① 입욕","① 입욕"
JLPT N3,人気,にんき,"① 인기","① 인기"
JLPT N3,抜ける,ぬける,"① 빠지다,뽑아지다\n② 없어지다","① 빠지다,뽑아지다\n② 없어지다"
JLPT N3,濡らす,ぬらす,"① 적시다","① 적시다"
JLPT N3,願(い),ねがい,"① 원함,소원\n② 부탁함","① 원함,소원\n② 부탁함"
JLPT N3,鼠,ねずみ,"① 쥐","① 쥐"
JLPT N3,熱中,ねっちゅう,"① 열중","① 열중"
JLPT N3,年間,ねんかん,"① 연간\n② 한 해 동안","① 연간\n② 한 해 동안"
JLPT N3,年月,ねんげつ,"① 연월,세월","① 연월,세월"
JLPT N3,年中,ねんじゅう,"① 연중","① 연중"
JLPT N3,の,の,"① …의,…에 관한\n② … 의 것","① …의,…에 관한\n② … 의 것"
JLPT N3,農村,のうそん,"① 농촌","① 농촌"
JLPT N3,農民,のうみん,"① 농민 (=동의어ひゃくしょう)","① 농민 (=동의어ひゃくしょう)"
JLPT N3,能力,のうりょく,"① 능력,역량","① 능력,역량"
JLPT N3,乗せる,のせる,"① 태우다,싣다","① 태우다,싣다"
JLPT N3,除く,のぞく,"① 제거하다,없애다","① 제거하다,없애다"
JLPT N3,ノック,knock,"① 노크,두드림","① 노크,두드림"
JLPT N3,上り,のぼり,"① 오름,올라감","① 오름,올라감"
JLPT N3,乗(り)越し,のりこし,"① 타고 가다가 목적지를 지나침","① 타고 가다가 목적지를 지나침"
JLPT N3,のろのろ,のろのろ,"① 느릿느릿,꾸물꾸물","① 느릿느릿,꾸물꾸물"
JLPT N3,のんびり,のんびり,"① 유유히,한가로이","① 유유히,한가로이"
JLPT N3,パーセント,percent,"① 퍼센트,백분율(%)","① 퍼센트,백분율(%)"
JLPT N3,倍,ばい,"① 배,2배","① 배,2배"
JLPT N3,灰色,はいいろ,"① 회색,잿빛 (=동의어グレー)","① 회색,잿빛 (=동의어グレー)"
JLPT N3,梅雨,ばいう,"① 장마 (=동의어つゆ·さみだれ)","① 장마 (=동의어つゆ·さみだれ)"
JLPT N3,ハイキング,hiking,"① 하이킹 (=동의어ハイク)","① 하이킹 (=동의어ハイク)"
JLPT N3,拝見,はいけん,"① 배견,봄","① 배견,봄"
JLPT N3,配達,はいたつ,"① 배달","① 배달"
JLPT N3,売店,ばいてん,"① 매점","① 매점"
JLPT N3,売買,ばいばい,"① 매매","① 매매"
JLPT N3,量る·測る,はかる,"① 무게·길이 등을 재다,측량하다","① 무게·길이 등을 재다,측량하다"
JLPT N3,はきはき,はきはき,"① 시원시원,똑똑히","① 시원시원,똑똑히"
JLPT N3,拍手,はくしゅ,"① 박수","① 박수"
JLPT N3,博物館,はくぶつかん,"① 박물관","① 박물관"
JLPT N3,パス,pass,"① 승차권\n② 합격,통과\n③ 패스","① 승차권\n② 합격,통과\n③ 패스"
JLPT N3,外す,はずす,"① 떼다,뜨다\n② 빗나가다","① 떼다,뜨다\n② 빗나가다"
JLPT N3,弾む,はずむ,"① 튀다\n② 기세가 오르다,신바람이 나다","① 튀다\n② 기세가 오르다,신바람이 나다"
JLPT N3,畑·畠,はたけ,"① 밭\n② 영역,전문 분야","① 밭\n② 영역,전문 분야"
JLPT N3,働き,はたらき,"① 작동\n② 활동,회전\n③ 작용,기능","① 작동\n② 활동,회전\n③ 작용,기능"
JLPT N3,発車,はっしゃ,"① 발차","① 발차"
JLPT N3,発想,はっそう,"① 발상\n② 생각,생각해 냄","① 발상\n② 생각,생각해 냄"
JLPT N3,ばったり,ばったり,"① 푹,딱,뚝","① 푹,딱,뚝"
JLPT N3,発展,はってん,"① 발전","① 발전"
JLPT N3,発電,はつでん,"① 발전","① 발전"
JLPT N3,発売,はつばい,"① 발매","① 발매"
JLPT N3,発表,はっぴょう,"① 발표","① 발표"
JLPT N3,発明,はつめい,"① 발명","① 발명"
JLPT N3,話(し)合い,はなしあい,"① 의논,교섭,서로 이야기함","① 의논,교섭,서로 이야기함"
JLPT N3,話(し)合う,はなしあう,"① 서로 이야기하다","① 서로 이야기하다"
JLPT N3,話し中,はなしちゅう,"① 이야기하고 있는 중,면담 중\n② 통화 중","① 이야기하고 있는 중,면담 중\n② 통화 중"
JLPT N3,花火·煙火,はなび,"① 불꽃,불꽃놀이","① 불꽃,불꽃놀이"
JLPT N3,幅·巾,はば,"① 폭,너비\n② 위세,여유","① 폭,너비\n② 위세,여유"
JLPT N3,母親,ははおや,"① 모친,어머니","① 모친,어머니"
JLPT N3,歯磨(き),はみがき,"① 이를 닦음,이닦기\n② 치약","① 이를 닦음,이닦기\n② 치약"
JLPT N3,場面,ばめん,"① 장면\n② 경우,상황","① 장면\n② 경우,상황"
JLPT N3,早口,はやくち,"① 말이 빠름","① 말이 빠름"
JLPT N3,腹,はら,"① 배,복부","① 배,복부"
JLPT N3,払(い)戻す,はらいもどす,"① 돌려 주다,환불하다","① 돌려 주다,환불하다"
JLPT N3,針,はり,"① 바늘\n② 침","① 바늘\n② 침"
JLPT N3,範囲,はんい,"① 범위","① 범위"
JLPT N3,反する,はんする,"① 반하다,어긋나다\n② 배반하다,거스르다","① 반하다,어긋나다\n② 배반하다,거스르다"
JLPT N3,反省,はんせい,"① 반성","① 반성"
JLPT N3,犯人,はんにん,"① 범인,범죄자","① 범인,범죄자"
JLPT N3,販売,はんばい,"① 판매","① 판매"
JLPT N3,日当(た)り·陽当たり,ひあたり,"① 볕이 듦\n② 양지","① 볕이 듦\n② 양지"
JLPT N3,被害,ひがい,"① 피해","① 피해"
JLPT N3,日帰り,ひがえり,"① 당일치기","① 당일치기"
JLPT N3,ぴかぴか,ぴかぴか,"① 반짝반짝,번쩍번쩍","① 반짝반짝,번쩍번쩍"
JLPT N3,引(き)受ける,ひきうける,"① 떠맡다,인수하다","① 떠맡다,인수하다"
JLPT N3,引(き)算,ひきざん,"① 뺄셈","① 뺄셈"
JLPT N3,引(き)出す,ひきだす,"① 꺼내다,끄집어 내다","① 꺼내다,끄집어 내다"
JLPT N3,飛行,ひこう,"① 비행","① 비행"
JLPT N3,美術,びじゅつ,"① 미술","① 미술"
JLPT N3,美人,びじん,"① 미인","① 미인"
JLPT N3,ビタミン,(독일어) Vitamin,"① 비타민","① 비타민"
JLPT N3,筆記,ひっき,"① 필기","① 필기"
JLPT N3,日付,ひづけ,"① 날짜","① 날짜"
JLPT N3,引(っ)越し,ひっこし,"① 이사","① 이사"
JLPT N3,ぴったり,ぴったり,"① 꼭,딱","① 꼭,딱"
JLPT N3,ビデオ,video,"① 비디오","① 비디오"
JLPT N3,人指し指·人差し指,ひとさしゆび,"① 집게손가락,검지","① 집게손가락,검지"
JLPT N3,紐,ひも,"① 끈","① 끈"
JLPT N3,費用,ひよう,"① 비용","① 비용"
JLPT N3,表,ひょう,"① 표,도식","① 표,도식"
JLPT N3,美容,びよう,"① 미용","① 미용"
JLPT N3,表紙,ひょうし,"① 표지","① 표지"
JLPT N3,表情,ひょうじょう,"① 표정","① 표정"
JLPT N3,表面,ひょうめん,"① 표면,겉","① 표면,겉"
JLPT N3,ビル,building,"① 빌딩(‘ビルディング’의 준말)","① 빌딩(‘ビルディング’의 준말)"
JLPT N3,昼寝,ひるね,"① 낮잠","① 낮잠"
JLPT N3,広がる·拡がる,ひろがる,"① 넓어지다\n② 확장되다,퍼지다","① 넓어지다\n② 확장되다,퍼지다"
JLPT N3,広げる·拡げる,ひろげる,"① 펴다,펼치다\n② 넓히다,확장하다","① 펴다,펼치다\n② 넓히다,확장하다"
JLPT N3,瓶詰(め)·壜詰め,びんづめ,"① 병조림,병에 담음","① 병조림,병에 담음"
JLPT N3,ファイル,file,"① 파일,서류철\n② 철하다(정리하다)","① 파일,서류철\n② 철하다(정리하다)"
JLPT N3,ファスナー,fastener,"① 퍼스너,지퍼","① 퍼스너,지퍼"
JLPT N3,風景,ふうけい,"① 풍경\n② 모양,상태","① 풍경\n② 모양,상태"
JLPT N3,夫婦,ふうふ,"① 부부","① 부부"
JLPT N3,部下,ぶか,"① 부하","① 부하"
JLPT N3,深まる,ふかまる,"① 깊어지다","① 깊어지다"
JLPT N3,深める,ふかめる,"① 깊게 하다","① 깊게 하다"
JLPT N3,夫妻,ふさい,"① 부처,내외 (=동의어夫婦<ふうふ>)","① 부처,내외 (=동의어夫婦<ふうふ>)"
JLPT N3,不足,ふそく,"① 부족","① 부족"
JLPT N3,蓋,ふた,"① 뚜껑,덮개\n② 딱지","① 뚜껑,덮개\n② 딱지"
JLPT N3,舞台,ぶたい,"① 무대","① 무대"
JLPT N3,不断·普段,ふだん,"① 항상,평상시","① 항상,평상시"
JLPT N3,縁,ふち,"① 가장자리,테두리","① 가장자리,테두리"
JLPT N3,物価,ぶっか,"① 물가","① 물가"
JLPT N3,打付ける,ぶつける,"① 부딪다\n② 던지다,던져 맞히다","① 부딪다\n② 던지다,던져 맞히다"
JLPT N3,ぶつぶつ,ぶつぶつ,"① 중얼중얼","① 중얼중얼"
JLPT N3,物理,ぶつり,"① 물리","① 물리"
JLPT N3,筆,ふで,"① 붓\n② 글을 쓰는 일","① 붓\n② 글을 쓰는 일"
JLPT N3,部品,ぶひん,"① 부품 (=동의어パーツ)","① 부품 (=동의어パーツ)"
JLPT N3,不満,ふまん,"① 불만","① 불만"
JLPT N3,踏(み)切り,ふみきり,"① 건널목","① 건널목"
JLPT N3,ふやす,ふやす,"① 늘리다\n② 불리다,증식시키다","① 늘리다\n② 불리다,증식시키다"
JLPT N3,ブラウス,blouse,"① 블라우스","① 블라우스"
JLPT N3,ブラシ,brush,"① 빗\n② 칫솔","① 빗\n② 칫솔"
JLPT N3,プラス,plus,"① 플러스\n② 양수","① 플러스\n② 양수"
JLPT N3,ぶらぶら,ぶらぶら,"① 흔들흔들\n② 어슬렁어슬렁,빈둥빈둥","① 흔들흔들\n② 어슬렁어슬렁,빈둥빈둥"
JLPT N3,プラン,plan,"① 플랜\n② 계획,안\n③ 설계도","① 플랜\n② 계획,안\n③ 설계도"
JLPT N3,震える,ふるえる,"① 흔들리다,진동하다\n② 주변때문에 떨리다","① 흔들리다,진동하다\n② 주변때문에 떨리다"
JLPT N3,ブレーキ,brake,"① 브레이크","① 브레이크"
JLPT N3,雰囲気,ふんいき,"① 분위기 (=동의어ムード)","① 분위기 (=동의어ムード)"
JLPT N3,文献,ぶんけん,"① 문헌,자료","① 문헌,자료"
JLPT N3,分数,ぶんすう,"① 분수","① 분수"
JLPT N3,平気,へいき,"① 개의치않음,태연함","① 개의치않음,태연함"
JLPT N3,平均,へいきん,"① 평균\n② 균형,평형","① 평균\n② 균형,평형"
JLPT N3,閉口,へいこう,"① 질림,손듦,항복\n② 입을 다물다","① 질림,손듦,항복\n② 입을 다물다"
JLPT N3,平日,へいじつ,"① 평일\n② 일요일·공휴일 이외의 날","① 평일\n② 일요일·공휴일 이외의 날"
JLPT N3,平凡,へいぼん,"① 평범","① 평범"
JLPT N3,別に,べつに,"① 개별로,특별히\n② 따로","① 개별로,특별히\n② 따로"
JLPT N3,別別,べつべつ,"① 따로따로,각각","① 따로따로,각각"
JLPT N3,減らす,へらす,"① 줄이다,감하다","① 줄이다,감하다"
JLPT N3,ベルト,belt,"① 벨트\n② 혁대,띠","① 벨트\n② 혁대,띠"
JLPT N3,変更,へんこう,"① 변경","① 변경"
JLPT N3,編集·編輯,へんしゅう,"① 편집,편찬","① 편집,편찬"
JLPT N3,報告,ほうこく,"① 보고","① 보고"
JLPT N3,宝石,ほうせき,"① 보석","① 보석"
JLPT N3,法則,ほうそく,"① 법칙","① 법칙"
JLPT N3,包丁·庖丁,ほうちょう,"① 식칼,식칼 솜씨","① 식칼,식칼 솜씨"
JLPT N3,ほうぼう·方方,ほうぼう,"① 여기저기,여러 곳 (=동의어あちこち)","① 여기저기,여러 곳 (=동의어あちこち)"
JLPT N3,方面,ほうめん,"① 방면,분양","① 방면,분양"
JLPT N3,ボーナス,bonus,"① 보너스\n② 상여금\n③ 주식의 특별 배당금","① 보너스\n② 상여금\n③ 주식의 특별 배당금"
JLPT N3,埃,ほこり,"① 먼지","① 먼지"
JLPT N3,干す·乾す,ほす,"① 말리다\n② 바닥이 드러나도록 하다","① 말리다\n② 바닥이 드러나도록 하다"
JLPT N3,ポスター,poster,"① 포스터","① 포스터"
JLPT N3,保存,ほぞん,"① 보존","① 보존"
JLPT N3,坊(っ)ちゃん,ぼっちゃん,"① 도련님,도령","① 도련님,도령"
JLPT N3,ほっと,ほっと,"① 한숨 쉬는 모양,후유","① 한숨 쉬는 모양,후유"
JLPT N3,程,ほど,"① 한도,분수\n② 가치\n③ 정도,쯤","① 한도,분수\n② 가치\n③ 정도,쯤"
JLPT N3,歩道,ほどう,"① 보도,인도","① 보도,인도"
JLPT N3,ほほ笑む·頬笑む·微笑む,ほほえむ,"① 미소짓다","① 미소짓다"
JLPT N3,本人,ほんにん,"① 본인,당사자","① 본인,당사자"
JLPT N3,本部,ほんぶ,"① 본부 (↔반의어 支部<しぶ>지부)","① 본부 (↔반의어 支部<しぶ>지부)"
JLPT N3,本物,ほんもの,"① 진짜,실물\n② 장인","① 진짜,실물\n② 장인"
JLPT N3,翻訳,ほんやく,"① 번역","① 번역"
JLPT N3,間,ま,"① 사이,간격\n②  (시간적인) 동안,짬\n③ 방","① 사이,간격\n②  (시간적인) 동안,짬\n③ 방"
JLPT N3,迷子·迷児,まいご,"① 미아,길 잃은 아이\n② 길을 잃은 것","① 미아,길 잃은 아이\n② 길을 잃은 것"
JLPT N3,毎度,まいど,"① 매번,항상,번번이","① 매번,항상,번번이"
JLPT N3,マイナス,minus,"① 마이너스,적자","① 마이너스,적자"
JLPT N3,任せる·委せる,まかせる,"① 맡기다\n② 위임하다,일임하다","① 맡기다\n② 위임하다,일임하다"
JLPT N3,巻く·捲く,まく,"① 감다,말다,죄다\n② 소용돌이치다","① 감다,말다,죄다\n② 소용돌이치다"
JLPT N3,負け,まけ,"① 지는 것,패배\n② 값을 깎아 줌,에누리","① 지는 것,패배\n② 값을 깎아 줌,에누리"
JLPT N3,曲げる·枉げる,まげる,"① 구부리다,굽히다,꺽다\n② 바꾸다","① 구부리다,굽히다,꺽다\n② 바꾸다"
JLPT N3,まごまご,まごまご,"① 우물쭈물","① 우물쭈물"
JLPT N3,真逆,まさか,"① 설마,혹시\n② 아무리 그렇다고","① 설마,혹시\n② 아무리 그렇다고"
JLPT N3,混ざる·交ざる·雑ざる,まざる,"① 섞이다 (=동의어まじる)","① 섞이다 (=동의어まじる)"
JLPT N3,貧しい,まずしい,"① 가난하다\n② 적다,빈약하다","① 가난하다\n② 적다,빈약하다"
JLPT N3,混ぜる·雑ぜる,まぜる,"① 넣어 섞다\n② 축에 끼워 주다","① 넣어 섞다\n② 축에 끼워 주다"
JLPT N3,待ち合(わ)せ,まちあわせ,"①  (때와 장소를 미리 정하고) 약속하여 만나기로 함","①  (때와 장소를 미리 정하고) 약속하여 만나기로 함"
JLPT N3,間違い,まちがい,"① 틀림,잘못\n② 싸움,사고","① 틀림,잘못\n② 싸움,사고"
JLPT N3,街角·町角,まちかど,"① 길모퉁이,길목","① 길모퉁이,길목"
JLPT N3,真っ赤,まっか,"① 새빨감,진한 빨강","① 새빨감,진한 빨강"
JLPT N3,真っ暗,まっくら,"① 아주 캄캄함,암흑","① 아주 캄캄함,암흑"
JLPT N3,真っ黒,まっくろ,"① 새까맘,시커멈","① 새까맘,시커멈"
JLPT N3,真っ青,まっさお,"① 새파란","① 새파란"
JLPT N3,真っ白,まっしろ,"① 새하얀","① 새하얀"
JLPT N3,祭(り),まつり,"① 제사\n② 축제,잔치","① 제사\n② 축제,잔치"
JLPT N3,纏まる·纒まる,まとまる,"① 하나로 정리되다,뭉치다\n② 결정,해결이 나다","① 하나로 정리되다,뭉치다\n② 결정,해결이 나다"
JLPT N3,纏める·纒める,まとめる,"①  하나로 정리하다,합치다\n③ 매듭짓다,해결하다","①  하나로 정리하다,합치다\n③ 매듭짓다,해결하다"
JLPT N3,学ぶ,まなぶ,"① 배우다,익히다\n② 학문을 공부하다","① 배우다,익히다\n② 학문을 공부하다"
JLPT N3,真似,まね,"① 흉내\n② 짓·동작","① 흉내\n② 짓·동작"
JLPT N3,招く,まねく,"① 초대하다\n② 초래하다","① 초대하다\n② 초래하다"
JLPT N3,眩しい,まぶしい,"① 눈부시다","① 눈부시다"
JLPT N3,マフラー,muffler,"① 머플러,목도리","① 머플러,목도리"
JLPT N3,儘·随,まま,"① …하는대로\n② 그대로,…인 채로","① …하는대로\n② 그대로,…인 채로"
JLPT N3,豆,まめ,"① 콩,대두\n② 크기가 작은 것","① 콩,대두\n② 크기가 작은 것"
JLPT N3,迷う,まよう,"① 갈피를 못잡다\n② 헤매다,방향을 잃다","① 갈피를 못잡다\n② 헤매다,방향을 잃다"
JLPT N3,マラソン,marathon,"① 마라톤 (경주)","① 마라톤 (경주)"
JLPT N3,丸,まる,"① 동그라미,공\n② 만 (숫자를 셀 때)","① 동그라미,공\n② 만 (숫자를 셀 때)"
JLPT N3,回り·廻り,まわり,"① 도는 것\n② 차례로 방문함","① 도는 것\n② 차례로 방문함"
JLPT N3,回り道·回り路,まわりみち,"① 길을 돌아서 감","① 길을 돌아서 감"
JLPT N3,満員,まんいん,"① 만원","① 만원"
JLPT N3,マンション,mansion,"① 맨션,저택","① 맨션,저택"
JLPT N3,満足,まんぞく,"① 만족,완전함","① 만족,완전함"
JLPT N3,満点,まんてん,"① 만점,나무랄 데가 없음","① 만점,나무랄 데가 없음"
JLPT N3,身,み,"① 몸,신체\n② 입장,처지","① 몸,신체\n② 입장,처지"
JLPT N3,見上げる,みあげる,"① 올려다 보다","① 올려다 보다"
JLPT N3,見送り,みおくり,"① 송별,배웅","① 송별,배웅"
JLPT N3,見送る,みおくる,"① 배웅하다,전송하다\n② 보내다,보류하다","① 배웅하다,전송하다\n② 보내다,보류하다"
JLPT N3,見下ろす,みおろす,"① 내려다보다\n② 얕보다,깔보다","① 내려다보다\n② 얕보다,깔보다"
JLPT N3,見かける·見掛ける,みかける,"① 가끔 보다\n② 보다가 말다\n③ 얼핏 보기에는","① 가끔 보다\n② 보다가 말다\n③ 얼핏 보기에는"
JLPT N3,味方·身方·御方,みかた,"① 자기 편,아군\n② 편듦,가세","① 자기 편,아군\n② 편듦,가세"
JLPT N3,ミス,Miss,"① 아가씨","① 아가씨"
JLPT N3,湖,みずうみ,"① 호수","① 호수"
JLPT N3,水着,みずぎ,"① 수영복","① 수영복"
JLPT N3,見出し,みだし,"① 표제,표제어\n② 색인,차례","① 표제,표제어\n② 색인,차례"
JLPT N3,見直す,みなおす,"① 다시 보다,재검토하다","① 다시 보다,재검토하다"
JLPT N3,醜い,みにくい,"① 추하다,보기 흉하다,못생기다","① 추하다,보기 흉하다,못생기다"
JLPT N3,見舞(い),みまい,"① 문안,문병","① 문안,문병"
JLPT N3,見舞う,みまう,"① 문안,문병하다\n② 닥쳐 오다","① 문안,문병하다\n② 닥쳐 오다"
JLPT N3,未来,みらい,"① 미래,장래","① 미래,장래"
JLPT N3,ミルク,milk,"① 밀크,우유","① 밀크,우유"
JLPT N3,民間,みんかん,"① 민간","① 민간"
JLPT N3,無,む,"① 무","① 무"
JLPT N3,向(か)い·対い,むかい,"① 마주 봄,맞은 편,건너 편","① 마주 봄,맞은 편,건너 편"
JLPT N3,迎え,むかえ,"① 맞이함,마중","① 맞이함,마중"
JLPT N3,向く,むく,"① 향하다\n② 돌리다,보다","① 향하다\n② 돌리다,보다"
JLPT N3,無地,むじ,"① 무지 (무늬가 없음)","① 무지 (무늬가 없음)"
JLPT N3,蒸(し)暑い,むしあつい,"① 무덥다,찌듯이 덥다","① 무덥다,찌듯이 덥다"
JLPT N3,虫歯·齲歯,むしば,"① 충치","① 충치"
JLPT N3,蒸す,むす,"① 무덥다\n② 찌다","① 무덥다\n② 찌다"
JLPT N3,無線,むせん,"① 무선","① 무선"
JLPT N3,無駄遣い·徒遣い,むだづかい,"① 낭비","① 낭비"
JLPT N3,夢中,むちゅう,"① 꿈속\n② 열중,몰두함","① 꿈속\n② 열중,몰두함"
JLPT N3,無料,むりょう,"① 무료","① 무료"
JLPT N3,明確,めいかく,"① 명확","① 명확"
JLPT N3,名作,めいさく,"① 명작","① 명작"
JLPT N3,名人,めいじん,"① 명인,장인","① 명인,장인"
JLPT N3,明白,めいはく,"① 명백,분명한","① 명백,분명한"
JLPT N3,目上,めうえ,"① 윗사람,연장자","① 윗사람,연장자"
JLPT N3,目覚(ま)し,めざまし,"① 잠을 깨게 함","① 잠을 깨게 함"
JLPT N3,飯,めし,"① 밥,식사 (=동의어ごはん,ごはん이 좀 더 공손한 말)","① 밥,식사 (=동의어ごはん,ごはん이 좀 더 공손한 말)"
JLPT N3,目下,めした,"① 아랫사람,손아래 (↔반의어目上<めうえ>)","① 아랫사람,손아래 (↔반의어目上<めうえ>)"
JLPT N3,目立つ,めだつ,"① 눈에 띄다,두드러지다","① 눈에 띄다,두드러지다"
JLPT N3,メニュー,(프랑스어) menu,"① 메뉴,식단","① 메뉴,식단"
JLPT N3,眩暈·目眩,めまい,"① 현기증","① 현기증"
JLPT N3,面会,めんかい,"① 면회","① 면회"
JLPT N3,免許,めんきょ,"① 면허","① 면허"
JLPT N3,免税,めんぜい,"① 면세 (=동의어 tax-free タックスフリー)","① 면세 (=동의어 tax-free タックスフリー)"
JLPT N3,面接,めんせつ,"① 면접","① 면접"
JLPT N3,面倒,めんどう,"① 번잡하고 성가심\n② 돌봄,보살핌","① 번잡하고 성가심\n② 돌봄,보살핌"
JLPT N3,メンバー,member,"① 멤버,단체의 일원","① 멤버,단체의 일원"
JLPT N3,申(し)込む,もうしこむ,"① 신청하다\n② 말하다","① 신청하다\n② 말하다"
JLPT N3,毛布,もうふ,"① 모포,담요  (=동의어ブランケット)","① 모포,담요  (=동의어ブランケット)"
JLPT N3,燃える,もえる,"① 타다,불길이 일다","① 타다,불길이 일다"
JLPT N3,目標,もくひょう,"① 목표  (=동의어 ねらい·まと)","① 목표  (=동의어 ねらい·まと)"
JLPT N3,文字,もじ,"① 글자,문자\n② 문장,말","① 글자,문자\n② 문장,말"
JLPT N3,最も·尤も,もっとも,"① (무엇보다도) 가장","① (무엇보다도) 가장"
JLPT N3,物置,ものおき,"① 창고,헛간","① 창고,헛간"
JLPT N3,物語,ものがたり,"① 이야기,전설,소설","① 이야기,전설,소설"
JLPT N3,燃やす,もやす,"① 불태우다,연소시키다","① 불태우다,연소시키다"
JLPT N3,もよう·模様,もよう,"① 무늬,도안\n② 상황,기미","① 무늬,도안\n② 상황,기미"
JLPT N3,盛る,もる,"① 높이 쌓아올리다\n② 많이 담다","① 높이 쌓아올리다\n② 많이 담다"
JLPT N3,文句,もんく,"① 문구\n② 불평,이의","① 문구\n② 불평,이의"
JLPT N3,火傷,やけど,"① 화상","① 화상"
JLPT N3,家賃,やちん,"① 집세","① 집세"
JLPT N3,薬局,やっきょく,"① 약국,약방","① 약국,약방"
JLPT N3,矢っ張り,やっぱり,"① 역시","① 역시"
JLPT N3,破る,やぶる,"① 찢다\n② 깨다,부수다","① 찢다\n② 깨다,부수다"
JLPT N3,破れる,やぶれる,"① 찢어지다\n② 깨지다","① 찢어지다\n② 깨지다"
JLPT N3,やむを得ない·已むを得ない,やむをえない,"① 어쩔 수 없다,부득이하다","① 어쩔 수 없다,부득이하다"
JLPT N3,勇気,ゆうき,"① 용기","① 용기"
JLPT N3,有情,ゆうじょう,"① 우정","① 우정"
JLPT N3,友人,ゆうじん,"① 벗,친구  (=동의어ともだち)","① 벗,친구  (=동의어ともだち)"
